Name,Age,Level,Team,Pos,Avg Rank,BaGS,FScore,PG+,PL,STS
Konnor Griffin,19,AA,PIT,SS,3,10,2,1,1,1
Kevin McGonigle,20,AA,DET,SS,4.8,2,4,12,3,3
Munetaka Murakami,25,MLB,CHW,3B,5,,,,,5
Rainiel Rodriguez,18,A+,STL,C,11.4,7,16,17,13,4
Sal Stewart,21,MLB,CIN,2B,12.8,21,11,3,14,15
Eduardo Quintero,19,A+,LAD,CF,13.2,13,7,8,29,9
Aidan Miller,21,AAA,PHI,SS,14.4,29,6,5,5,27
Edward Florentino,18,A,PIT,CF,14.8,8,1,35,23,7
Jesus Made,18,AA,MIL,SS,19.2,36,14,11,2,33
Justin Crawford,21,AAA,PHI,CF,21,11,20,16,19,39
Walker Jenkins,20,AAA,MIN,CF,21.6,30,31,19,7,21
Jett Williams,21,AAA,MIL,SS,22.4,37,25,10,27,13
A.J. Ewing,20,AA,NYM,CF,26.399999999999995,20,32,23,11,46
Samuel Basallo,20,MLB,BAL,C,29,3,132,2,6,2
Sebastian Walcott,19,AA,TEX,SS,30.8,6,88,22,26,12
Nate George,19,A+,BAL,CF,33,48,3,43,51,20
Aron Estrada,20,AA,BAL,2B,34.6,63,18,46,28,18
JJ Wetherholt,22,AAA,STL,SS,36.4,28,84,21,21,28
Kendall George,20,A+,LAD,CF,37.6,25,22,29,39,73
Colt Emerson,19,AAA,SEA,SS,38.8,18,124,25,4,23
Dylan Beavers,23,MLB,BAL,RF,42.4,41,17,56,62,36
Jordan Lawlar,22,MLB,ARI,SS,45,24,10,62,75,54
Max Clark,20,AA,DET,CF,47.2,14,160,36,10,16
Hector Rodriguez,21,AAA,CIN,RF,47.2,95,12,18,53,58
Luis Pena,18,A+,MIL,SS,47.4,159,8,30,18,22
Ryan Clifford,21,AAA,NYM,1B,49.6,56,126,6,49,11
Moises Ballesteros,21,MLB,CHC,C,51.4,39,133,24,36,25
Carson Benge,22,AAA,NYM,CF,52.4,92,62,48,31,29
Owen Caissie,22,MLB,MIA,RF,54.2,52,51,34,108,26
Roldy Brito,18,A,COL,2B,54.2,9,28,83,94,57
Kazuma Okamoto,29,MLB,TOR,3B,55,,,,,55
Carter Jensen,21,MLB,KCR,C,56.2,33,162,14,48,24
Josue De Paula,20,AA,LAD,RF,56.2,40,138,44,16,43
Henry Bolte,21,AAA,ATH,RF,56.4,106,37,32,46,61
Caleb Bonemer,19,A+,CHW,SS,57,153,26,40,35,31
John Gil,19,AA,ATL,SS,60.2,115,39,20,8,119
William Bergolla,20,AA,CHW,2B,60.4,51,33,93,33,92
Deniel Ortiz,20,A+,STL,3B,62,67,9,54,100,80
Alfredo Duno,19,A,CIN,C,63.8,55,64,74,96,30
Ralphy Velazquez,20,AA,CLE,1B,64,44,153,28,42,53
Luis Lara,20,AA,MIL,CF,68,38,119,82,30,71
Michael Arroyo,20,AA,SEA,2B,68.8,59,183,39,44,19
Kemp Alderman,22,AAA,MIA,RF,69,53,58,33,139,62
Josue Briceno,20,AA,DET,C,69.2,17,271,31,17,10
Gabriel Gonzalez,21,AAA,MIN,RF,70.6,57,196,13,24,63
Joshua Baez,22,AA,STL,RF,71.8,152,5,41,43,118
Franklin Arias,19,AA,BOS,SS,72.8,141,80,61,45,37
Sam Antonacci,22,AA,CHW,2B,77.2,109,71,125,41,40
Bryce Eldridge,20,MLB,SFG,1B,79.75,12,250,,25,32
