Name,Age,Level,Team,Avg Rank,DIGS,FScore,PG+,PL,STS
Jonah Tong,22,MLB,NYM,2.6,2,2,2,2,5
Travis Sykora,21,AA,WSN,4,1,1,12,3,3
Chase Burns,22,MLB,CIN,5.2,4,3,17,1,1
Trey Yesavage,21,MLB,TOR,5.25,10,5,,4,2
Alejandro Rosario,22,A+,WSN,10,,13,,,7
Thomas White,20,AAA,MIA,14.6,20,31,4,6,12
Julian Garcia,30,AAA,CIN,19,,,,,19
Payton Tolle,22,MLB,BOS,19.6,48,30,9,5,6
Robby Snelling,21,AAA,MIA,22.4,16,73,3,7,13
Jojo Ingrassia,22,A+,BOS,33,,15,,46,38
Wei-En Lin,19,AA,ATH,34.4,54,54,10,11,43
Welinton Herrera,21,AA,COL,36.333333333333336,,8,,64,37
Ty Johnson,23,AA,TBR,37.4,68,18,59,25,17
Elmer Rodriguez-Cruz,21,AAA,NYY,41.4,62,59,5,13,68
Connelly Early,23,MLB,BOS,41.8,84,44,41,32,8
Daniel Eagen,22,AA,ARI,46.4,40,121,18,37,16
Kelvis Salcedo,19,A,DET,54,,,40,12,110
Carlos Lagrange,22,AA,NYY,57.4,116,97,24,28,22
Ricky Tiedemann,21,AAA,TOR,58,,105,,,11
Mitch Bratt,21,AA,ARI,58.2,53,175,31,14,18
Michael Forret,21,AA,TBR,61.2,131,44,50,17,64
Andrew Walters,24,MLB,CLE,62,,28,,,96
Nico Zeglin,24,A+,HOU,63.5,,23,,,104
Charlie Barnes,29,MLB,CHC,65,,,,,65
Luis De La Torre,21,A,SFG,65.2,41,32,133,70,50
Luis Gastelum,23,AA,STL,65.33333333333333,,29,,97,70
Micah Ashman,22,AA,BAL,66.33333333333333,,11,,100,88
Tanner Franklin,21,A+,STL,67,,,,,67
Ben Hess,22,AA,NYY,67.8,138,75,61,45,20
Mason Marriott,22,A+,ARI,69,,,,91,47
Jarlin Susana,21,AA,WSN,69.2,46,38,238,15,9
Tyson Neighbors,22,AA,BAL,69.33333333333333,,9,,123,76
Gage Stanifer,21,AA,TOR,69.6,38,69,11,34,196
David Davalillo,22,AA,TEX,72.1,184,61.5,37,36,42
Anthony Nunez,23,AAA,BAL,74.66666666666667,,4,,151,69
Caden Scarborough,20,A+,TEX,76.5,129,82.5,42,18,111
Mick Abel,23,MLB,MIN,77,16,175,70,89,35
Hayden Harris,26,MLB,ATL,77.25,,19.5,,,135
Christian Scott,25,MLB,NYM,77.75,,131.5,,,24
Tatsuya Imai,27,MLB,HOU,78,,,,,78
Trey Gibson,23,AAA,BAL,81.1,222,66.5,65,23,29
T.J. Brock,24,AA,TOR,91.25,,90.5,,,92
Ryan Sloan,19,A+,SEA,91.9,108,199.5,55,44,53
Josh White,24,AAA,MIA,93.33333333333333,,7,,63,210
Nolan McLean,23,MLB,NYM,94.2,154,147,39,121,10
