"Points","Roto","Change","Player","Pos.","Team","Age","Level","ETA"
"1","1","0","Shohei Ohtani","TWP","LAD","31","",""
"3","2","0","Bobby Witt Jr.","SS","KC","25","",""
"4","3","1","Ronald Acuna Jr.","RF","ATL","27","",""
"2","4","2","Aaron Judge","RF","NYY","33","",""
"5","5","7","Tarik Skubal","SP","DET","29","",""
"6","6","2","Paul Skenes","SP","PIT","23","",""
"7","7","-4","Juan Soto","RF","NYM","27","",""
"9","8","-1","Corbin Carroll","RF","AZ","25","",""
"12","9","10","Julio Rodriguez","CF","SEA","24","",""
"17","10","-5","Elly De La Cruz","SS","CIN","23","",""
"8","11","11","Garrett Crochet","SP","BOS","26","",""
"16","12","2","Jackson Chourio","CF","MIL","21","",""
"11","13","0","Jose Ramirez","3B","CLE","33","",""
"10","14","6","Junior Caminero","3B","TB","22","",""
"14","15","-6","Fernando Tatis Jr.","RF","SD","26","",""
"18","16","33","Nick Kurtz","1B","ATH","22","",""
"13","17","-1","Vladimir Guerrero Jr.","1B","TOR","26","",""
"21","18","-7","Kyle Tucker","RF","FA","28","",""
"27","19","-4","James Wood","LF","WSH","23","",""
"23","20","-10","Gunnar Henderson","SS","BAL","24","",""
"15","21","21","Cal Raleigh","C","SEA","29","",""
"52","22","3","Roman Anthony","RF","BOS","21","",""
"20","23","-2","Francisco Lindor","SS","NYM","32","",""
"19","24","19","Hunter Brown","SP","HOU","27","",""
"22","25","7","Yoshinobu Yamamoto","SP","LAD","27","",""
"30","26","21","Jazz Chisholm Jr.","2B","NYY","27","",""
"28","27","4","Logan Gilbert","SP","SEA","28","",""
"36","28","0","Wyatt Langford","LF","TEX","24","",""
"25","29","21","Kyle Schwarber","LF","PHI","32","",""
"33","30","0","Ketel Marte","2B","AZ","32","",""
"47","31","-5","Yordan Alvarez","LF","HOU","28","",""
"31","32","2","Pete Alonso","1B","BAL","31","",""
"39","33","13","Zach Neto","SS","LAA","24","",""
"24","34","70","Cristopher Sanchez","SP","PHI","29","",""
"29","35","-17","Pete Crow-Armstrong","CF","CHC","23","",""
"40","36","-9","Rafael Devers","DH","SF","29","",""
"37","37","-4","Trea Turner","SS","PHI","32","",""
"43","38","7","Riley Greene","LF","DET","25","",""
"44","39","5","Matt Olson","1B","ATL","31","",""
"50","40","8","Hunter Greene","SP","CIN","26","",""
"46","41","-17","Bryce Harper","1B","PHI","33","",""
"26","42","18","Konnor Griffin","SS","PIT","19","AA","2026"
"54","43","-26","Jackson Merrill","CF","SD","22","",""
"42","44","-5","Manny Machado","3B","SD","33","",""
"35","45","-22","Mookie Betts","SS","LAD","33","",""
"45","46","-9","CJ Abrams","SS","WSH","25","",""
"66","47","15","Eury Perez","SP","MIA","22","",""
"77","48","3","Cole Ragans","SP","KC","28","",""
"78","49","37","Mason Miller","RP","SD","27","",""
"49","50","4","Brent Rooker","RF","ATH","31","",""
