Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",13.991,8.9477,22.6352,2.79743,32,32,0,0,,199.765,796.828,159.803,68.188,62.092,20.2428,43.5403,0.3642,7.1165,242.695,10.9342,1.96162,5.57404,0.912,0.304577,0.054642,0.24993499368429184,0.214163,1.01791,0.288804,0.772301,0.424339,,2.7834,5.88835,5.79619,999,,,,,,,1151,5.755,1073,5.365,4.1,3.68,3.41,3.19,2.99,2.81,2.63,2.43,2.18,3.57,3.38,3.26,3.16,3.06,2.97,2.88,2.77,2.63,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",13.3833,9.2404,21.2725,2.91744,32,32,0,0,,193.982,785.35,157.969,69.1546,62.881,17.5661,51.6156,0.5026,7.1695,236.887,10.9907,2.39477,4.58946,0.815,0.301633,0.0657231,0.23590997606515884,0.217419,1.08044,0.297394,0.759114,0.443775,,2.77912,5.68087,5.73887,999,,,,,,,1100.4,5.6721649484536085,1033,5.324742268041237,4.28,3.84,3.55,3.31,3.11,2.92,2.73,2.52,2.26,3.75,3.54,3.4,3.29,3.18,3.08,2.98,2.86,2.7,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",13.5299,9.0193,20.6902,3.03075,32,32,0,0,,192.855,773.898,157.845,71.0798,64.944,19.6712,49.7709,0.493,6.0085,238.087,11.1108,2.32266,4.78366,0.918,0.307647,0.064312,0.24333490431308746,0.219804,1.07654,0.300144,0.758214,0.455967,,2.85975,5.54387,5.38187,999,,,,,,,1079.4,5.592746113989638,1013,5.248704663212435,4.38,3.93,3.64,3.4,3.2,3,2.81,2.6,2.33,3.83,3.62,3.49,3.37,3.27,3.17,3.07,2.95,2.8,"Garrett Crochet","27463",676979
"Cristopher Sánchez","PHI",13.5414,9.3174,21.1058,3.1529,32,32,0,0,,198.055,812.7,183.128,77.2898,69.383,17.4288,50.6174,0.4957,6.6796,191.527,8.70333,2.30015,3.78381,0.792,0.235667,0.062283,0.1733839064836502,0.242425,1.18021,0.30323,0.747358,0.545382,,3.21296,4.72782,5.14919,999,,,,,,,990.3000000000002,5.001515151515153,979,4.944444444444445,4.61,4.17,3.87,3.64,3.43,3.23,3.04,2.82,2.55,4.03,3.84,3.71,3.6,3.5,3.4,3.3,3.19,3.04,"Cristopher Sanchez","20778",650911
"Cole Ragans","KCR",11.8019,8.5501,17.4453,3.28133,29.16,29.16,0,0,,172.018,711.406,140.348,68.1602,62.7165,18.0619,62.2545,0.5983,5.6379,210.403,11.0083,3.25716,3.37973,0.945,0.295757,0.0875091,0.20824801176786423,0.218097,1.1778,0.294632,0.758208,0.399003,,3.23789,4.20633,4.23006,999,,,,,,,903.3999999999999,5.252325581395348,842,4.895348837209302,4.7,4.21,3.88,3.63,3.4,3.19,2.98,2.75,2.46,4.09,3.87,3.72,3.6,3.48,3.38,3.26,3.14,2.97,"Cole Ragans","21846",666142
"Chris Sale","ATL",12.0346,7.5053,17.7318,3.19284,27.54,27.54,0,0,,168.535,685.659,139.757,64.9974,59.7895,18.1456,44.2401,0.5232,8.6091,205.746,10.9871,2.36248,4.65066,0.969,0.30007,0.064522,0.23554785549640656,0.220851,1.09174,0.297397,0.750345,0.416542,,3.03396,4.14962,4.31761,999,,,,,,,918.2,5.433136094674556,864,5.112426035502959,4.65,4.16,3.84,3.58,3.36,3.15,2.94,2.72,2.43,4.03,3.82,3.67,3.55,3.44,3.34,3.23,3.11,2.95,"Chris Sale","10603",519242
"Logan Webb","SFG",12.5083,10.4811,20.7853,3.3057,32,32,0,0,,199.392,830.452,193.339,81.5224,73.2365,16.6381,47.1415,0.7549,6.0474,187.066,8.44366,2.12784,3.96818,0.751,0.225258,0.0567661,0.16849196702241898,0.248743,1.20607,0.308077,0.731894,0.547547,,3.14381,4.09886,3.93121,999,,,,,,,976.7000000000003,4.908040201005027,989,4.969849246231155,4.8,4.35,4.05,3.81,3.61,3.41,3.21,2.99,2.71,4.19,4.01,3.88,3.77,3.68,3.58,3.48,3.37,3.22,"Logan Webb","17995",657277
"Jacob deGrom","TEX",11.4195,9.1171,17.1338,3.51926,29.16,29.16,0,0,,174.797,715.502,152.428,73.6185,68.3507,23.6364,39.7948,0.44,5.3405,202.471,10.4249,2.04897,5.08788,1.217,0.282978,0.055618,0.2273598089814186,0.22738,1.09969,0.289903,0.745322,0.378878,,3.35103,4.03601,3.37992,999,,,,,,,873.5999999999999,4.991999999999999,832,4.7542857142857144,4.98,4.47,4.13,3.87,3.63,3.41,3.2,2.96,2.65,4.38,4.14,3.97,3.84,3.71,3.6,3.47,3.33,3.15,"Jacob deGrom","10954",594798
"Dylan Cease","TOR",12.3378,9.7931,17.4459,3.58303,32,32,0,0,,184.857,777.364,156.818,79.5857,73.5943,22.2239,67.5436,1.1785,5.8862,216.917,10.5609,3.28844,3.21151,1.082,0.279042,0.086888,0.19215400516986847,0.222774,1.2137,0.289579,0.749171,0.381771,,3.54284,3.8569,3.26657,999,,,,,,,902.2,4.876756756756757,851,4.6,5.07,4.59,4.28,4.02,3.8,3.59,3.38,3.14,2.85,4.43,4.23,4.09,3.98,3.88,3.78,3.67,3.55,3.4,"Dylan Cease","18525",656302
"Sonny Gray","BOS",11.4753,10.0428,16.9463,3.70447,30.78,30.78,0,0,,181.357,757.548,171.609,81.1394,74.648,21.2994,47.768,0.5015,5.6627,189.365,9.3974,2.37053,3.96427,1.057,0.249971,0.0630561,0.18691501766443253,0.243722,1.20964,0.304608,0.729263,0.451378,,3.45745,3.84609,3.4666,999,,,,,,,849.9000000000001,4.695580110497238,848,4.685082872928176,5.2,4.71,4.39,4.13,3.9,3.69,3.47,3.23,2.93,4.55,4.34,4.2,4.09,3.98,3.88,3.77,3.65,3.48,"Sonny Gray","12768",543243
"Framber Valdez",,12.1024,9.9231,19.185,3.47679,30.78,30.78,0,0,,190.384,795.586,180.491,81.4435,73.5472,16.1192,62.7344,0.4225,7.8493,178.6,8.44296,2.96564,2.84693,0.762,0.224489,0.0788531,0.14563605189323425,0.248953,1.27755,0.309971,0.733178,0.559,,3.47182,3.71666,3.81471,999,,,,,,,886.2,4.66421052631579,887,4.668421052631579,5,4.53,4.22,3.97,3.76,3.55,3.34,3.11,2.82,4.37,4.17,4.04,3.93,3.83,3.73,3.63,3.51,3.36,"Framber Valdez","17295",664285
