Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",13,5,,2.54348,30,30,0,0,,184,717,140,56,52,16,34,0,6,226,11.0543,1.66304,6.64706,0.782609,0.315202,0.0474198,0.26778243109583855,0.206795,0.945652,0.285057,0.778364,,,2.46122,6.3026,6.22651,999,,,,,,,1132.8000000000002,6.156521739130436,1044,5.673913043478261,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",15,6,,2.78351,30,30,0,0,,184.3,749,152,62,57,18,49,1,4,230,11.2317,2.39284,4.69388,0.879002,0.307076,0.0654206,0.24165553599596024,0.218391,1.09061,0.299107,0.790671,,,2.7716,5.49248,5.79684,999,,,,,,,1048.2200225830077,5.68757463497508,988.5000152587891,5.363537704235328,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Paul Skenes","PIT",13,6,,2.75459,32,32,0,0,,179.7,718,143,59,55,16,46,0,5,204,10.217,2.30384,4.43478,0.801336,0.284123,0.0640668,0.2200557067990303,0.214393,1.05175,0.284116,0.780312,,,2.87359,5.00732,5.85027,999,,,,,,,1016.1799774169924,5.654869196851885,945.4999847412109,5.261547027257531,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Logan Webb","SFG",16,8,,3.05542,32,32,0,0,,200.3,821,184,74,68,15,42,1,5,190,8.53719,1.88717,4.52381,0.673989,0.231425,0.0511571,0.18026796728372574,0.237726,1.12831,0.297012,0.741463,,,2.91547,5.00154,5.221,999,,,,,,,1058.3200225830078,5.283674520511797,1045.500015258789,5.219670490911727,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Cristopher Sánchez","PHI",10,6,,3.28099,29,29,0,0,,178.3,732,162,70,65,16,42,0,6,172,8.682,2.12002,4.09524,0.807628,0.234973,0.057377,0.1775956228375435,0.236842,1.14414,0.294355,0.737885,,,3.18,4.25463,4.48583,999,,,,,,,901.420022583008,5.0556366077085215,883.5000152587891,4.95513180110447,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Yoshinobu Yamamoto","LAD",13,7,,3.30765,28,28,0,0,,168.7,663,129,67,62,18,43,0,5,180,9.60285,2.29401,4.18605,0.960285,0.271493,0.0648567,0.20663651078939438,0.209756,1.01956,0.266187,0.715259,,,3.24183,4.10547,3.99585,999,,,,,,,907.5799774169922,5.379845843716531,825.4999847412109,4.893301717097704,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Max Fried","NYY",13,8,,3.36842,28,28,0,0,,171,700,147,69,64,14,49,1,6,156,8.21053,2.57895,3.18367,0.736842,0.222857,0.07,0.15285714715719223,0.227907,1.1462,0.28,0.719955,,,3.33981,3.80487,3.66861,999,,,,,,,858,5.017543859649122,820,4.795321637426901,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Hunter Brown","HOU",13,6,,3.05903,30,28,0,0,,167.7,689,138,62,57,16,55,0,6,178,9.55277,2.9517,3.23636,0.858676,0.258345,0.0798258,0.1785195916891098,0.219745,1.15086,0.281106,0.767878,,,3.34384,3.61461,4.25783,999,,,,,,,858.3799774169922,5.11854497935332,803.4999847412109,4.791293973542515,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Dylan Cease","TOR",11,8,,3.60656,30,30,0,0,,164.7,689,136,71,66,19,64,2,4,192,10.4918,3.49727,3,1.03825,0.278665,0.0928882,0.1857764944434166,0.219002,1.21433,0.285366,0.743945,,,3.54194,3.56543,3.06262,999,,,,,,,811.4799774169923,4.927018776278447,756.4999847412109,4.593199749596503,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Andrew Abbott","CIN",9,8,,3.79518,30,30,0,0,,166,691,156,76,70,20,48,0,4,148,8.0241,2.60241,3.08333,1.08434,0.214182,0.0694645,0.14471780508756638,0.244131,1.22892,0.288747,0.727273,,,3.85803,3.44065,3.24591,999,,,,,,,716.8000000000001,4.3180722891566266,710,4.27710843373494,,,,,,,,,,,,,,,,,,,"Andrew Abbott","29911",671096
