Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",141,624,500,144,76,25,1,42,107,115,113,23,153,6,5,0,14,8,2,0.288,0.18109,0.245192,0.738562,0.421474,0.594,0.419441,1.01547,0.306,3.80363,0.329032,,-0.354523,127.629,53.8981,174.609,-0.354523,5.5,54.517326444387436,-1.3783068656921387,7.63416,999,,,,,,,1146,8.127659574,1146,8.127659574,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Shohei Ohtani","LAD",152,696,592,171,84,30,5,52,138,138,95,16,166,5,4,0,6,29,5,0.288851,0.136494,0.238506,0.572289,0.389368,0.619932,0.417332,1.0093,0.331081,7.04885,0.314815,,2.64333,141.163,58.9255,171.98,2.64333,0,62.020106077194214,-17.5,6.92412,999,,,,,,,1311,8.625,1311,8.625,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Cal Raleigh","SEA",152,621,538,124,61,22,0,41,82,108,75,10,168,5,3,0,6,7,2,0.230483,0.120773,0.270531,0.446429,0.328502,0.5,0.349363,0.828502,0.269517,3.02577,0.25,,-0.283854,91.682,18.3061,131.738,-0.283854,9.9,22.94598725438118,21.308730125427246,6.71462,999,,,,,,,853.3,5.613815789,853.3,5.613815789,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Bobby Witt Jr.","KCR",152,658,598,169,99,34,9,27,98,93,46,6,117,7,7,0,8,32,9,0.282609,0.0699088,0.177812,0.393162,0.337386,0.505017,0.355688,0.842403,0.222408,7.50942,0.308026,,1.7505,100.524,22.776,126.547,1.7505,7.1,22.33877944946289,14.353086471557617,6.07114,999,,,,,,,946.7,6.228289473,946.7,6.228289473,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Juan Soto","NYM",152,670,538,146,85,23,1,37,109,103,124,9,116,3,4,1,14,23,3,0.271375,0.185075,0.173134,1.06897,0.408072,0.524164,0.39766,0.932235,0.252788,4.962,0.280206,,2.03131,125.189,46.0229,161.296,2.03131,-6.9,50.70569705963135,-14.285361766815186,6.00691,999,,,,,,,1116.1,7.342763157,1116.1,7.342763157,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Francisco Lindor","NYM",151,672,596,157,99,30,1,27,102,90,58,2,121,12,6,0,8,23,4,0.263423,0.0863095,0.18006,0.479339,0.337798,0.45302,0.341643,0.790818,0.189597,5.38242,0.286344,,1.85945,94.9995,15.5976,122.923,1.85945,5.7,20.11638629436493,13.107407093048096,5.68667,999,,,,,,,872.2,5.77615894,872.2,5.77615894,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Gunnar Henderson","BAL",152,651,574,156,91,32,5,28,99,90,67,3,141,6,4,0,6,21,4,0.271777,0.102919,0.21659,0.475177,0.351767,0.491289,0.360986,0.843056,0.219512,6.29194,0.312958,,1.49906,102.254,25.3338,134.658,1.49906,-2.4,28.091304421424866,4.775925636291504,5.65518,999,,,,,,,931.8,6.130263157,931.8,6.130263157,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Julio Rodríguez","SEA",152,666,609,162,102,29,2,29,94,98,46,5,148,9,2,0,13,27,6,0.26601,0.0690691,0.222222,0.310811,0.325826,0.463054,0.337997,0.78888,0.197044,5.80063,0.306452,,1.93944,92.1799,13.4868,123.909,1.93944,6.7,20.70683479309082,9.147089719772339,5.3997,999,,,,,,,865.8,5.696052631,865.8,5.696052631,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"William Contreras","MIL",152,648,566,153,101,31,1,20,87,82,75,4,124,3,4,0,17,6,2,0.270318,0.115741,0.191358,0.604839,0.356481,0.434629,0.343987,0.79111,0.164311,3.6188,0.312207,,-0.774328,92.8399,16.2737,121.982,-0.774328,1.5,16.108076691627502,13.404762268066406,5.2253,999,,,,,,,814.2,5.356578947,814.2,5.356578947,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Fernando Tatis Jr.","SDP",147,644,562,149,93,28,2,26,101,80,74,4,126,6,2,0,11,25,5,0.265125,0.114907,0.195652,0.587302,0.35559,0.460854,0.35312,0.816444,0.19573,5.77949,0.298544,,1.83673,97.0422,20.9486,131.222,1.83673,9.6,25.667945384979248,2.501235008239746,5.07421,999,,,,,,,882.9,6.006122448,882.9,6.006122448,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Corbin Carroll","ARI",152,661,574,147,80,27,13,27,112,92,70,3,140,10,5,2,5,35,6,0.256098,0.1059,0.2118,0.5,0.344461,0.489547,0.356029,0.834008,0.233449,8.47005,0.291262,,3.50643,101.165,23.0625,128.492,3.50643,7.2,25.827646017074585,-0.08615541458129883,4.8837,999,,,,,,,945.1,6.217763157,945.1,6.217763157,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"José Ramírez","CLE",148,637,564,153,93,31,3,26,91,88,63,19,73,4,6,0,7,28,6,0.271277,0.0989011,0.1146,0.863014,0.345369,0.475177,0.342902,0.820546,0.203901,5.9439,0.269639,,2.21206,90.7029,15.4364,121.941,2.21206,3.7,18.684754371643066,6.040534973144531,4.77286,999,,,,,,,881.6,5.956756756,881.6,5.956756756,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
