Rank,Name,Value,Age,Positions,Team,Level
1,"Bobby Witt Jr.",10000,25.6,"SS","KC","MLB"
2,"Shohei Ohtani",9941,31.6,"SP, UT","LAD","MLB"
3,"Juan Soto",8617,27.3,"OF","NYM","MLB"
4,"Paul Skenes",8015,23.7,"SP","PIT","MLB"
5,"Corbin Carroll",7150,25.4,"OF","AZ","MLB"
6,"Junior Caminero",7070,22.6,"3B","TB","MLB"
7,"Elly De La Cruz",6935,24.1,"SS","CIN","MLB"
8,"Nick Kurtz",6856,22.9,"1B","ATH","MLB"
9,"Aaron Judge",6577,33.8,"OF","NYY","MLB"
10,"Gunnar Henderson",6573,24.6,"SS","BAL","MLB"
11,"Tarik Skubal",6507,29.2,"SP","DET","MLB"
12,"Vladimir Guerrero Jr.",6375,26.9,"1B","TOR","MLB"
13,"Julio Rodriguez",6342,25.1,"OF","SEA","MLB"
14,"Ronald Acuna Jr.",6103,28.1,"OF","ATL","MLB"
15,"Garrett Crochet",6029,26.6,"SP","BOS","MLB"
16,"Roman Anthony",5863,21.7,"OF","BOS","MLB"
17,"Fernando Tatis Jr.",5816,27.1,"OF","SD","MLB"
18,"Jackson Chourio",5679,21.9,"OF","MIL","MLB"
19,"James Wood",4974,23.4,"OF","WSH","MLB"
20,"Kyle Tucker",4914,29,"OF","LAD","MLB"
21,"Konnor Griffin",4625,19.8,"SS","PIT","AA"
22,"Jose Ramirez",4598,33.4,"3B","CLE","MLB"
23,"Yoshinobu Yamamoto",4571,27.5,"SP","LAD","MLB"
24,"Cal Raleigh",4562,29.2,"C","SEA","MLB"
25,"Wyatt Langford",4482,24.2,"OF","TEX","MLB"
26,"Bryan Woo",4377,26,"SP","SEA","MLB"
27,"Jackson Merrill",4370,22.8,"OF","SD","MLB"
28,"Hunter Greene",4282,26.5,"SP","CIN","MLB"
29,"Hunter Brown",4248,27.4,"SP","HOU","MLB"
30,"Pete Crow-Armstrong",4079,23.9,"OF","CHC","MLB"
31,"Yordan Alvarez",4017,28.6,"OF","HOU","MLB"
32,"Zach Neto",3973,25,"SS","LAA","MLB"
33,"Eury Perez",3831,22.8,"SP","MIA","MLB"
34,"Francisco Lindor",3817,32.2,"SS","NYM","MLB"
35,"Logan Gilbert",3772,28.7,"SP","SEA","MLB"
36,"Rafael Devers",3725,29.3,"1B","SF","MLB"
37,"Jazz Chisholm Jr.",3669,28,"2B, 3B","NYY","MLB"
38,"Riley Greene",3527,25.3,"OF","DET","MLB"
39,"Cristopher Sanchez",3485,29.1,"SP","PHI","MLB"
40,"Kevin McGonigle",3451,21.5,"SS","DET","AA"
41,"Samuel Basallo",3408,21.5,"C","BAL","MLB"
42,"Logan Webb",3298,29.2,"SP","SF","MLB"
43,"Ketel Marte",3294,32.3,"2B","AZ","MLB"
44,"Cole Ragans",3275,28.1,"SP","KC","MLB"
45,"Spencer Schwellenbach",3225,25.7,"SP","ATL","MLB"
46,"Jacob Misiorowski",3168,23.8,"SP","MIL","MLB"
47,"George Kirby",3161,27.9,"SP","SEA","MLB"
48,"CJ Abrams",3142,25.3,"SS","WSH","MLB"
49,"Kyle Schwarber",3136,32.9,"UT","PHI","MLB"
50,"Chase Burns",3122,23,"SP","CIN","MLB"
51,"Joe Ryan",3033,29.7,"SP","MIN","MLB"
52,"Pete Alonso",3030,31.2,"1B","BAL","MLB"
53,"Trea Turner",3025,32.6,"SS","PHI","MLB"
54,"JJ Wetherholt",3014,23.4,"2B, SS","STL","AAA"
55,"Jackson Holliday",2943,22.2,"2B","BAL","MLB"
56,"Leo De Vries",2915,19.3,"SS","ATH","AA"
57,"Jesus Made",2904,18.7,"SS","MIL","AA"
58,"Bryce Harper",2885,33.3,"1B","PHI","MLB"
59,"Freddy Peralta",2811,29.7,"SP","MIL","MLB"
60,"Bo Bichette",2772,27.9,"SS","NYM","MLB"
61,"Tyler Soderstrom",2729,24.2,"1B, OF","ATH","MLB"
62,"Mookie Betts",2645,33.3,"SS","LAD","MLB"
63,"Bubba Chandler",2611,23.4,"SP","PIT","MLB"
64,"Max Fried",2588,32,"SP","NYY","MLB"
65,"Trey Yesavage",2585,22.5,"SP","TOR","MLB"
66,"Oneil Cruz",2581,27.3,"OF","PIT","MLB"
67,"Jac Caglianone",2573,22.9,"1B, OF","KC","MLB"
68,"Austin Riley",2570,28.8,"3B","ATL","MLB"
69,"Nolan McLean",2514,24.5,"SP","NYM","MLB"
70,"Max Clark",2513,21.1,"OF","DET","AA"
71,"Josh Naylor",2479,28.6,"1B","SEA","MLB"
72,"Matt Olson",2456,31.8,"1B","ATL","MLB"
73,"Corey Seager",2413,31.8,"SS","TEX","MLB"
74,"Maikel Garcia",2409,25.9,"2B, 3B, SS","KC","MLB"
75,"Walker Jenkins",2364,20.9,"OF","MIN","AAA"
76,"Spencer Strider",2356,27.3,"SP","ATL","MLB"
77,"Manny Machado",2328,33.6,"3B","SD","MLB"
78,"Geraldo Perdomo",2286,26.3,"SS","AZ","MLB"
79,"Sebastian Walcott",2253,19.9,"SS","TEX","AA"
80,"Jarren Duran",2244,29.4,"OF","BOS","MLB"
81,"William Contreras",2235,28.1,"C","MIL","MLB"
82,"Dylan Crews",2209,23.9,"OF","WSH","MLB"
83,"Ben Rice",2201,26.9,"C, 1B","NYY","MLB"
84,"MacKenzie Gore",2157,26.9,"SP","TEX","MLB"
85,"Mason Miller",2145,27.4,"RP","SD","MLB"
86,"Cam Schlittler",2132,24.9,"SP","NYY","MLB"
87,"Dylan Cease",2103,30.1,"SP","TOR","MLB"
88,"Jacob Wilson",2094,23.8,"SS","ATH","MLB"
89,"Brent Rooker",2079,31.3,"OF, UT","ATH","MLB"
90,"Roki Sasaki",2058,24.2,"SP","LAD","MLB"
91,"Jordan Westburg",2057,26.9,"2B, 3B","BAL","MLB"
92,"Jesus Luzardo",2042,28.3,"SP","PHI","MLB"
93,"Vinnie Pasquantino",2029,28.3,"1B","KC","MLB"
94,"Lawrence Butler",1954,25.6,"OF","ATH","MLB"
95,"Kristian Campbell",1940,23.6,"2B","BOS","MLB"
96,"Jeremy Pena",1933,28.4,"SS","HOU","MLB"
97,"Alex Bregman",1897,31.8,"3B","CHC","MLB"
98,"Josue De Paula",1878,20.7,"OF","LAD","AA"
99,"Framber Valdez",1870,32.2,"SP","FA","MLB"
100,"Michael Busch",1856,28.2,"1B","CHC","MLB"
101,"Michael King",1851,30.7,"SP","SD","MLB"
102,"Brice Turang",1833,26.2,"2B","MIL","MLB"
103,"Travis Bazzana",1778,23.4,"2B","CLE","AAA"
104,"2026 Early 1st",1758,,"","",""
105,"Freddie Freeman",1737,36.4,"1B","LAD","MLB"
106,"Gavin Williams",1730,26.5,"SP","CLE","MLB"
107,"Luke Keaschall",1718,23.5,"2B","MIN","MLB"
108,"Cody Bellinger",1695,30.6,"OF","NYY","MLB"
109,"Pablo Lopez",1690,29.9,"SP","MIN","MLB"
110,"Blake Snell",1681,33.2,"SP","LAD","MLB"
111,"Agustin Ramirez",1674,24.4,"C","MIA","MLB"
112,"Drake Baldwin",1663,24.8,"C","ATL","MLB"
113,"Bryce Eldridge",1656,21.3,"UT","SF","MLB"
114,"Michael Harris II",1654,24.9,"OF","ATL","MLB"
115,"Will Smith",1625,30.8,"C","LAD","MLB"
116,"Jasson Dominguez",1620,22.9,"OF","NYY","MLB"
117,"Emmet Sheehan",1599,26.2,"SP","LAD","MLB"
118,"Andrew Painter",1598,22.8,"SP","PHI","AAA"
119,"Cade Horton",1596,24.5,"SP","CHC","MLB"
120,"Edward Florentino",1581,19.2,"OF","PIT","A"
121,"Seiya Suzuki",1578,31.5,"OF, UT","CHC","MLB"
122,"Jared Jones",1574,24.5,"SP","PIT","MLB"
123,"Marcelo Mayer",1560,23.1,"3B","BOS","MLB"
124,"Shea Langeliers",1560,28.2,"C","ATH","MLB"
125,"Spencer Torkelson",1557,26.4,"1B","DET","MLB"
126,"Matt Shaw",1544,24.2,"3B","CHC","MLB"
127,"Nick Lodolo",1511,27.9,"SP","CIN","MLB"
128,"Thomas White",1493,21.3,"SP","MIA","AAA"
129,"Kyle Stowers",1465,28.1,"OF","MIA","MLB"
130,"Cam Smith",1459,22.9,"OF","HOU","MLB"
131,"Jackson Jobe",1452,23.5,"SP","DET","MLB"
132,"Aidan Miller",1445,21.6,"SS","PHI","AAA"
133,"Luis Pena",1442,19.2,"2B, SS","MIL","A+"
134,"Tyler Glasnow",1439,32.4,"SP","LAD","MLB"
135,"Zyhir Hope",1430,21,"OF","LAD","AA"
136,"Adley Rutschman",1413,27.9,"C","BAL","MLB"
137,"Zack Wheeler",1397,35.7,"SP","PHI","MLB"
138,"Byron Buxton",1372,32.1,"OF","MIN","MLB"
139,"2027 Early 1st",1371,,"","",""
140,"Kade Anderson",1356,21.6,"SP","SEA","ROK"
141,"Colt Emerson",1301,20.5,"SS","SEA","AAA"
142,"Jordan Lawlar",1300,23.5,"3B","AZ","MLB"
143,"Isaac Paredes",1296,26.9,"3B","HOU","MLB"
144,"Andy Pages",1277,25.2,"OF","LAD","MLB"
145,"Ranger Suarez",1276,30.4,"SP","BOS","MLB"
146,"Sal Stewart",1265,22.2,"1B","CIN","MLB"
147,"Colson Montgomery",1245,23.9,"3B, SS","CWS","MLB"
148,"Corbin Burnes",1240,31.3,"SP","AZ","MLB"
149,"Bryce Rainer",1240,20.6,"SS","DET","A"
150,"Ivan Herrera",1228,25.7,"C","STL","MLB"
151,"Shane Baz",1227,26.6,"SP","BAL","MLB"
152,"Chris Sale",1225,36.8,"SP","ATL","MLB"
153,"Carter Jensen",1213,22.6,"C","KC","MLB"
154,"Nico Hoerner",1212,28.7,"2B","CHC","MLB"
155,"Carson Benge",1212,23,"OF","NYM","AAA"
156,"Steven Kwan",1200,28.4,"OF","CLE","MLB"
157,"Hunter Goodman",1198,26.3,"C","COL","MLB"
158,"Andres Munoz",1187,27,"RP","SEA","MLB"
159,"Kris Bubic",1185,28.5,"SP","KC","MLB"
160,"Jacob deGrom",1180,37.6,"SP","TEX","MLB"
161,"Edward Cabrera",1170,27.8,"SP","CHC","MLB"
162,"Kyle Bradish",1166,29.4,"SP","BAL","MLB"
