Rank,Name,Position,Team,Level,ETA,Age
1,Konnor Griffin,SS/OF,Pittsburgh Pirates,AA,2026,19
2,Kevin McGonigle,SS,Detroit Tigers,AA,2026,21
3,Jesus Made,SS/2B,Milwaukee Brewers,AA,2027,18
4,Leo De Vries,SS,Athletics,AA,2026,19
5,JJ Wetherholt,INF,St. Louis Cardinals,AAA,2026,23
6,Nolan McLean,RHP,New York Mets,MLB,2026,24
7,Sebastian Walcott,SS/3B,Texas Rangers,AA,2026,19
8,Samuel Basallo,C/1B,Baltimore Orioles,MLB,2026,21
9,Colt Emerson,SS,Seattle Mariners,AAA,2026,20
10,Max Clark,OF,Detroit Tigers,AA,2026,21
11,Bubba Chandler,RHP,Pittsburgh Pirates,MLB,2026,23
12,Trey Yesavage,RHP,Toronto Blue Jays,MLB,2026,22
13,Eli Willits,SS,Washington Nationals,A,2028,18
14,Walker Jenkins,OF,Minnesota Twins,AAA,2026,20
15,Josue De Paula,OF,Los Angeles Dodgers,AA,2027,20
16,Carson Benge,OF,New York Mets,AAA,2026,23
17,Thomas White,LHP,Miami Marlins,AAA,2026,21
18,Carter Jensen,C,Kansas City Royals,MLB,2026,22
19,Payton Tolle,LHP,Boston Red Sox,MLB,2026,23
20,Travis Bazzana,2B,Cleveland Guardians,AAA,2026,23
21,Kade Anderson,LHP,Seattle Mariners,ROK,2027,21
22,Sal Stewart,INF,Cincinnati Reds,MLB,2026,22
23,Aidan Miller,SS,Philadelphia Phillies,AAA,2026,21
24,Ethan Holliday,SS,Colorado Rockies,A,2029,18
25,Bryce Eldridge,1B,San Francisco Giants,MLB,2026,21
26,Luis Pena,INF,Milwaukee Brewers,A+,2028,19
27,Zyhir Hope,OF,Los Angeles Dodgers,AA,2027,21
28,Andrew Painter,RHP,Philadelphia Phillies,MLB,2026,22
29,Seth Hernandez,RHP,Pittsburgh Pirates,ROK,2028,19
30,Eduardo Quintero,OF,Los Angeles Dodgers,A+,2028,20
31,Franklin Arias,SS,Boston Red Sox,AA,2027,20
32,George Lombard Jr.,INF,New York Yankees,AA,2027,20
33,Ryan Sloan,RHP,Seattle Mariners,A+,2028,20
34,Liam Doyle,LHP,St. Louis Cardinals,AA,2027,21
35,Bryce Rainer,SS,Detroit Tigers,A,2028,20
