"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG"
"Shohei Ohtani","LAD","SP,DH","114.6","138","8","0","3.35","1.10","43","89","38","14","23","23","5","1"
"Tarik Skubal","DET","SP","194.9","237","14","0","2.74","0.97","59","149","40","19","31","31","7","1"
"Paul Skenes","PIT","SP","187.2","222","14","0","2.78","1.03","58","146","48","16","31","31","7","1"
"Garrett Crochet","BOS","SP","186.8","229","14","0","2.99","1.06","62","151","48","20","31","31","7","1"
"Cristopher Sanchez","PHI","SP","193.2","188","13","0","3.21","1.14","69","173","48","17","31","31","8","1"
"Yoshinobu Yamamoto","LAD","SP","157.6","172","12","0","3.28","1.11","57","127","47","16","27","27","6","0"
"Hunter Brown","HOU","SP","180.5","195","13","0","3.44","1.17","69","153","59","19","31","31","8","1"
"Chris Sale","ATL","SP","158.9","193","11","0","3.27","1.10","58","132","42","17","27","27","6","0"
"Logan Webb","SF","SP","198.1","188","14","0","3.28","1.17","72","186","45","16","32","32","9","1"
"Logan Gilbert","SEA","SP","165.9","184","11","0","3.42","1.06","63","137","38","21","29","29","8","0"
"Jacob deGrom","TEX","SP","161.0","178","11","0","3.43","1.05","61","131","38","22","28","28","8","0"
"Bryan Woo","SEA","SP","185.9","187","13","0","3.39","1.05","70","156","40","24","31","31","9","0"
"Cole Ragans","KC","SP","156.0","193","10","0","3.38","1.14","59","124","55","17","28","28","7","0"
"Hunter Greene","CIN","SP","170.3","205","11","0","3.67","1.12","70","135","55","24","30","30","8","1"
"Max Fried","NYY","SP","183.2","172","13","0","3.31","1.17","67","160","54","17","30","30","8","1"
"Freddy Peralta","NYM","SP","166.2","185","12","0","3.76","1.19","69","136","62","22","30","30","8","0"
"Joe Ryan","MIN","SP","170.4","186","11","0","3.80","1.10","72","147","40","25","29","29","9","0"
"George Kirby","SEA","SP","171.6","167","12","0","3.60","1.11","69","157","33","21","30","30","9","0"
"Blake Snell","LAD","SP","141.8","175","10","0","3.49","1.21","55","110","62","15","26","26","6","0"
"Dylan Cease","TOR","SP","176.3","207","12","0","3.76","1.21","74","147","67","21","31","31","9","0"
"Spencer Schwellenbach","ATL","SP","160.0","157","11","0","3.53","1.11","63","144","34","19","27","27","7","1"
"Jesus Luzardo","PHI","SP","175.1","195","12","0","3.73","1.18","73","152","55","22","30","30","9","0"
"Framber Valdez","","SP","183.8","173","13","0","3.49","1.23","71","165","61","16","30","30","9","2"
"Kyle Bradish","BAL","SP","145.2","155","9","0","3.57","1.18","58","125","46","16","27","27","7","0"
"Nick Pivetta","SD","SP","176.7","191","11","0","3.91","1.16","77","151","53","27","31","31","10","0"
"Mason Miller","SD","RP","66.8","104","4","33","2.60","0.98","19","40","25","6","63","0","2","0"
"Sonny Gray","BOS","SP","173.5","181","12","0","3.75","1.19","72","161","46","21","30","30","9","0"
"Pablo Lopez","MIN","SP","165.5","166","11","0","3.84","1.19","71","155","42","20","29","29","9","0"
"Nolan McLean","NYM","SP","149.2","144","10","0","3.81","1.28","63","133","59","16","26","26","8","0"
"Andres Munoz","SEA","RP","63.9","81","4","32","2.89","1.12","21","46","25","5","63","0","3","0"
"Tyler Glasnow","LAD","SP","132.3","154","9","0","3.70","1.17","54","106","48","16","24","24","6","0"
"Edwin Diaz","LAD","RP","67.3","93","5","37","3.05","1.06","23","48","23","7","66","0","3","0"
"Spencer Strider","ATL","SP","155.1","184","11","0","3.96","1.21","68","133","54","20","28","28","8","0"
"Kevin Gausman","TOR","SP","181.4","177","12","0","3.97","1.21","80","167","53","24","31","31","9","1"
"Eury Perez","MIA","SP","141.4","155","9","0","3.93","1.17","62","118","48","20","27","27","8","0"
"Jhoan Duran","PHI","RP","68.6","80","5","32","2.88","1.12","22","56","21","5","68","0","3","0"
"Brandon Woodruff","MIL","SP","147.3","155","10","0","3.75","1.13","61","126","40","21","27","27","7","0"
"Cade Smith","CLE","RP","71.2","92","5","31","2.97","1.07","23","55","21","6","70","0","3","0"
"Nathan Eovaldi","TEX","SP","165.0","157","11","0","3.56","1.13","65","145","42","19","28","28","8","1"
"Luis Castillo","SEA","SP","178.2","167","11","0","3.88","1.20","77","163","51","24","31","31","9","0"
"Trey Yesavage","TOR","SP","131.8","150","8","0","3.86","1.25","57","108","57","16","30","24","6","0"
"Sandy Alcantara","MIA","SP","178.5","148","10","0","4.16","1.27","83","173","53","21","30","30","11","1"
"Cam Schlittler","NYY","SP","127.4","128","8","0","4.01","1.29","57","114","50","16","24","24","7","0"
"Shane Bieber","TOR","SP","135.2","123","8","0","3.85","1.19","58","128","33","18","24","24","7","0"
