"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L"
"Tyler Rogers","TOR","RP","72.4","50","2","1","21","3.67","1.22","29","72","16","7","73","4","3"
"Jeremiah Estrada","SD","RP","70.6","96","2","1","20","3.39","1.16","27","54","28","9","70","4","3"
"Alex Vesia","LAD","RP","63.6","80","1","1","20","3.54","1.15","25","48","25","9","64","4","3"
"Bryan Abreu","HOU","RP","68.9","91","4","1","19","3.18","1.18","24","52","29","7","68","4","3"
"Garrett Whitlock","BOS","RP","69.2","77","3","1","19","3.36","1.15","26","60","20","7","64","4","3"
"Bryan King","HOU","RP","66.2","65","0","1","19","3.62","1.20","27","60","20","8","67","4","3"
"Hunter Gaddis","CLE","RP","68.0","65","3","1","19","3.84","1.21","29","61","21","9","65","3","3"
"A.J. Minter","NYM","RP","55.9","63","2","0","18","3.41","1.17","21","46","19","6","53","4","3"
"Jared Koenig","MIL","RP","66.1","66","1","1","18","3.57","1.23","26","59","23","7","65","4","3"
"Brad Keller","PHI","RP","67.5","62","2","1","18","4.02","1.33","30","63","27","8","63","4","4"
"Jose A. Ferrer","SEA","RP","69.3","65","3","1","17","3.22","1.17","25","61","20","5","67","4","3"
"Matt Brash","SEA","RP","62.1","74","3","1","17","3.19","1.21","22","51","24","5","63","3","3"
"Dylan Lee","ATL","RP","65.9","74","1","1","17","3.60","1.16","26","58","19","9","65","3","3"
"Fernando Cruz","NYY","RP","60.9","82","1","1","17","3.70","1.23","25","47","28","7","60","4","3"
"Caleb Thielbar","CHC","RP","64.6","66","1","1","17","3.72","1.20","27","56","21","8","67","4","3"
"Graham Ashcraft","CIN","RP","65.8","59","2","1","17","3.92","1.31","29","64","22","6","59","4","3"
"Tony Santillan","CIN","RP","69.9","73","4","2","17","4.20","1.33","33","62","31","9","71","3","3"
"Adrian Morejon","SD","RP","69.0","69","3","1","16","3.35","1.18","26","60","22","6","69","5","4"
"Tanner Scott","LAD","RP","64.7","73","4","1","16","3.52","1.22","25","54","25","7","63","4","3"
"Andrew Kittredge","BAL","RP","67.2","67","5","1","16","3.69","1.19","28","62","18","9","66","4","3"
"Phil Maton","CHC","RP","65.4","72","5","1","16","3.67","1.21","27","54","25","7","65","4","3"
"Luke Weaver","NYM","RP","68.5","73","5","1","16","3.93","1.20","30","60","22","10","62","4","3"
"Shawn Armstrong","CLE","RP","69.4","69","3","1","16","3.78","1.20","29","62","22","8","68","3","3"
"Lucas Erceg","KC","RP","63.6","60","3","1","16","3.71","1.28","26","58","24","6","61","4","4"
"Keegan Akin","BAL","SP,RP","67.1","68","2","1","16","4.03","1.27","30","61","25","9","65","4","3"
"Greg Weissert","BOS","RP","65.4","58","1","1","16","4.14","1.31","30","63","23","8","65","4","3"
"John Schreiber","KC","RP","64.1","59","1","1","16","4.06","1.30","29","60","23","8","67","3","3"
"Edwin Uceta","TB","RP","72.0","86","13","1","15","3.78","1.20","30","60","27","10","68","4","4"
"Garrett Cleavinger","TB","RP","65.2","80","7","1","15","3.45","1.18","25","52","25","8","67","4","3"
"Will Vest","DET","RP","68.1","69","7","1","15","3.38","1.20","26","60","21","6","66","4","3"
"Matt Strahm","KC","RP","66.1","72","1","1","15","3.51","1.13","26","55","19","8","64","4","3"
"JoJo Romero","STL","RP","64.2","60","12","2","15","3.60","1.29","26","58","25","6","64","4","3"
"Tyler Holton","DET","SP,RP","72.1","60","1","1","15","3.62","1.16","29","65","18","9","67","4","3"
"Gabe Speier","SEA","RP","58.6","69","0","1","15","3.31","1.11","22","48","17","7","62","3","3"
"Orion Kerkering","PHI","RP","63.8","69","1","1","15","3.45","1.21","24","55","22","6","63","4","3"
"Camilo Doval","NYY","RP","64.8","74","4","1","15","3.64","1.29","26","53","31","6","64","4","3"
"Blake Treinen","LAD","RP","58.9","66","1","1","15","3.82","1.26","25","52","22","7","61","4","3"
"Brooks Raley","NYM","RP","60.0","59","1","0","15","3.69","1.21","25","52","21","6","63","3","3"
"Gregory Soto","PIT","RP","62.0","66","3","1","15","3.83","1.30","26","56","25","5","64","3","3"
"Ryan Thompson","ARI","RP","62.9","52","3","1","15","3.88","1.30","27","63","19","6","61","4","3"
"Erik Sabrowski","CLE","RP","60.3","73","1","0","15","3.91","1.36","26","48","34","7","59","3","3"
"Anthony Bender","MIA","RP","61.7","58","1","1","15","3.91","1.30","27","57","24","6","63","3","3"
"Robert Suarez","ATL","RP","67.5","70","9","2","14","3.57","1.17","27","59","20","8","66","4","3"
"Louis Varland","TOR","RP","67.8","67","2","0","14","3.66","1.21","28","63","19","8","63","4","3"
"Kyle Finnegan","DET","RP","64.1","60","4","1","14","3.82","1.27","27","59","23","7","63","4","3"
